id,zip,latitude,longitude
zipgeo_32312,32312,30.604278,-84.243286
zipgeo_32313,32313,30.443147,-84.300736
zipgeo_32317,32317,30.470481,-84.116694
zipgeo_32320,32320,29.731534,-85.054224
zipgeo_32321,32321,30.262750,-84.997750
zipgeo_32322,32322,29.864047,-84.631996
zipgeo_32323,32323,29.891511,-84.613733
zipgeo_32324,32324,30.654759,-84.783247
zipgeo_32327,32327,30.181534,-84.302685
zipgeo_32328,32328,29.800430,-84.896825
zipgeo_32330,32330,30.578634,-84.747993
zipgeo_32331,32331,30.454744,-83.577769
zipgeo_32332,32332,30.610125,-84.665110
zipgeo_32333,32333,30.607743,-84.417592
zipgeo_32334,32334,30.259321,-84.758416
zipgeo_32336,32336,30.263057,-83.865499
zipgeo_32337,32337,30.483148,-84.021121
zipgeo_32340,32340,30.448953,-83.434802
zipgeo_32343,32343,30.478331,-84.504689
zipgeo_32344,32344,30.444549,-83.925998
zipgeo_32346,32346,29.982274,-84.380578
zipgeo_32347,32347,30.150653,-83.640744
zipgeo_32348,32348,29.942417,-83.556926
zipgeo_32350,32350,30.574972,-83.325794
zipgeo_32351,32351,30.520125,-84.675081
zipgeo_32352,32352,30.662261,-84.591627
zipgeo_32355,32355,30.169070,-84.209318
zipgeo_32356,32356,29.859235,-83.415003
zipgeo_32358,32358,30.091044,-84.540694
zipgeo_32359,32359,29.650039,-83.376036
zipgeo_32360,32360,30.364998,-84.812403
zipgeo_32361,32361,30.357645,-83.988660
zipgeo_32399,32399,30.383268,-84.231203
zipgeo_32401,32401,30.158374,-85.637996
zipgeo_32403,32403,30.048562,-85.553231
zipgeo_32404,32404,30.185025,-85.507385
zipgeo_32405,32405,30.199378,-85.668605
zipgeo_32407,32407,30.198324,-85.790694
zipgeo_32408,32408,30.156773,-85.754657
zipgeo_32409,32409,30.341270,-85.712606
zipgeo_32410,32410,29.951994,-85.428336
zipgeo_32413,32413,30.305727,-85.886321
zipgeo_32420,32420,30.635631,-85.381706
zipgeo_32421,32421,30.521467,-85.205731
zipgeo_32423,32423,30.943777,-85.048909
zipgeo_32424,32424,30.390602,-85.081807
zipgeo_32425,32425,30.853184,-85.720492
zipgeo_32426,32426,30.953978,-85.367431
zipgeo_32427,32427,30.710487,-85.792309
zipgeo_32428,32428,30.615750,-85.572945
zipgeo_32430,32430,30.418696,-85.225596
zipgeo_32431,32431,30.787482,-85.410816
zipgeo_32432,32432,30.714114,-85.077237
zipgeo_32433,32433,30.851178,-86.200838
zipgeo_32435,32435,30.648635,-86.130197
zipgeo_32437,32437,30.436248,-85.909221
zipgeo_32438,32438,30.511651,-85.414931
zipgeo_32439,32439,30.483268,-86.130423
zipgeo_32440,32440,30.922426,-85.526190
zipgeo_32442,32442,30.686518,-85.008627
zipgeo_32443,32443,30.872521,-85.109420
zipgeo_32444,32444,30.238451,-85.651586
zipgeo_32445,32445,30.970520,-85.197338
zipgeo_32446,32446,30.848170,-85.231368
zipgeo_32448,32448,30.671012,-85.223312
zipgeo_32449,32449,30.268296,-85.218138
zipgeo_32455,32455,30.638626,-85.962701
zipgeo_32456,32456,29.814542,-85.306423
zipgeo_32459,32459,30.360577,-86.185591
zipgeo_32460,32460,30.764089,-84.954234
zipgeo_32461,32461,30.308898,-86.054011
zipgeo_32462,32462,30.561812,-85.823730
zipgeo_32463,32463,30.628041,-85.587340
zipgeo_32464,32464,30.881353,-85.955991
zipgeo_32465,32465,30.007868,-85.181889
zipgeo_32466,32466,30.388401,-85.465062
zipgeo_32501,32501,30.428781,-87.222515
zipgeo_32502,32502,30.408929,-87.226813
zipgeo_32503,32503,30.459667,-87.213643
zipgeo_32504,32504,30.473121,-87.186316
zipgeo_32505,32505,30.454624,-87.260650
zipgeo_32506,32506,30.391889,-87.371994
zipgeo_32507,32507,30.338047,-87.378893
zipgeo_32508,32508,30.350614,-87.316902
zipgeo_32509,32509,30.469744,-87.340363
zipgeo_32511,32511,30.406350,-87.291321
zipgeo_32512,32512,30.398995,-87.299246
zipgeo_32514,32514,30.532180,-87.222539
zipgeo_32526,32526,30.499226,-87.365573
zipgeo_32530,32530,30.597113,-87.020019
zipgeo_32531,32531,30.898091,-86.693071
zipgeo_32533,32533,30.612555,-87.324338
zipgeo_32534,32534,30.528304,-87.286197
zipgeo_32535,32535,30.963698,-87.346175
zipgeo_32536,32536,30.750432,-86.597598
zipgeo_32539,32539,30.778999,-86.477169
zipgeo_32541,32541,30.395159,-86.478784
zipgeo_32542,32542,30.507766,-86.541629
zipgeo_32544,32544,30.426372,-86.719287
